severity,severity_multiplier,file,L_gain,K_poisson,sigma_A,psnr_model,ssim_model,psnr_classical,ssim_classical,model_output_finite
1.25x,1.25,001132.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.029951339750703,0.17168233812375772,16.903741079580694,0.14190766974380223,True
1.25x,1.25,004572.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.165538843974375,0.5416620149887795,17.53576124817323,0.4384971566506049,True
1.25x,1.25,003807.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.471909681811557,0.5560294889062702,15.666396991942385,0.44730665030079136,True
1.25x,1.25,000994.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.096782238577305,0.21867634018185922,14.909556484940381,0.19772683905671237,True
1.25x,1.25,000093.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.821584892541708,0.1847485308652408,16.592207996138146,0.15573260551865148,True
1.25x,1.25,000559.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.20238111192244,0.29325606757466716,18.062750035262248,0.2901319113815589,True
1.25x,1.25,003835.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.31549040513251,0.5294087718899031,17.5485087932079,0.47964352719959347,True
1.25x,1.25,002647.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.308142513696204,0.20962712831260225,15.325669060507687,0.17792402724282888,True
1.25x,1.25,004561.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.94751867780751,0.5698725444760748,16.889013449804466,0.503141933867096,True
1.25x,1.25,001107.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.539615363045037,0.33671992471609463,16.779147633827176,0.3113543196945674,True
1.25x,1.25,002144.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.359669082627363,0.5901611682219675,17.79342151725703,0.5447613818875658,True
1.25x,1.25,000803.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.611216318228518,0.5158463304844335,16.14649345298252,0.36747694956663757,True
1.25x,1.25,003553.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.77235784489902,0.4757310363804777,16.940421048804602,0.4308331161488579,True
1.25x,1.25,001804.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.515742681145117,0.2635166885235824,15.37814180270976,0.1888595661934644,True
1.25x,1.25,004043.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.48285138078458,0.19600201708890358,15.821711408098347,0.1031101185815859,True
1.25x,1.25,004501.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.63109614479658,0.5937220992066906,17.506101908440726,0.485843513461221,True
1.25x,1.25,001399.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.290019912139826,0.2941281360689966,17.643103413785052,0.2716542585698443,True
1.25x,1.25,004322.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.85533094275987,0.3135320236866162,15.988466628042042,0.21963168297260063,True
1.25x,1.25,003780.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.32546097743326,0.4244685826107592,16.70640886471783,0.28325117059329663,True
1.25x,1.25,002711.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.584334034429453,0.2331970485148624,15.259998317875391,0.15964699880718378,True
1.25x,1.25,002170.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.710116932268477,0.29451642062015065,16.728519886918555,0.21259147109339327,True
1.25x,1.25,002422.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.40975183486209,0.5470697976114031,15.363136189672424,0.47122378000440013,True
1.25x,1.25,000916.npy,23.45620174765596,24.85253874128137,0.01892530492312725,16.259243312942733,0.3436269508726356,14.707012021408898,0.33502577878296763,True
1.25x,1.25,002756.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.44335823207127,0.39881434886401534,15.84162129234713,0.3487599993937854,True
1.25x,1.25,000223.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.102193859990102,0.5230769875515621,16.02839800813167,0.3930772270635521,True
1.25x,1.25,000605.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.140605699584878,0.2421286744644079,18.11011934479898,0.21550090377636802,True
1.25x,1.25,004644.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.53841930782346,0.3125043230252898,15.351486710353846,0.209353394694434,True
1.25x,1.25,003700.npy,23.45620174765596,24.85253874128137,0.01892530492312725,19.7003094555327,0.16233286975205488,16.26539034222603,0.09403533060007516,True
1.25x,1.25,002855.npy,23.45620174765596,24.85253874128137,0.01892530492312725,18.685859655900416,0.22936380761740927,15.527502572250132,0.18441748892657517,True
1.25x,1.25,002272.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.434601490674694,0.36194563824702386,14.992503660631826,0.28469381973265123,True
1.25x,1.25,003309.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.224211890321996,0.3406299967208419,15.97276925541239,0.3410955574881863,True
1.25x,1.25,002863.npy,23.45620174765596,24.85253874128137,0.01892530492312725,15.633787563513282,0.433890878559582,14.454323299410387,0.43230518121526257,True
1.25x,1.25,001984.npy,23.45620174765596,24.85253874128137,0.01892530492312725,24.178800902277786,0.31961147340236207,21.695293503804226,0.2427494152159667,True
1.25x,1.25,000157.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.949503731077517,0.4335980384480093,15.527116816134011,0.3528083413697538,True
1.25x,1.25,003209.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.974190131769195,0.44499805869385084,18.45217404497535,0.3566318036041275,True
1.25x,1.25,001200.npy,23.45620174765596,24.85253874128137,0.01892530492312725,17.528432208315568,0.411659377381862,15.20786309015085,0.3356993028221439,True
1.25x,1.25,004264.npy,23.45620174765596,24.85253874128137,0.01892530492312725,20.38420313109056,0.3105450673246005,16.848359541274366,0.19676796840285188,True
1.5x,1.5,002161.npy,19.5468347897133,20.710448951067807,0.0227103659077527,19.942216252911194,0.36337194666599376,16.520023723177605,0.2408623956755175,True
1.5x,1.5,003251.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.003319173050695,0.445883642926862,15.208173805883568,0.36231250456497255,True
1.5x,1.5,003265.npy,19.5468347897133,20.710448951067807,0.0227103659077527,20.61229823898411,0.2254228762089703,17.015275580728215,0.14405619190537278,True
1.5x,1.5,003222.npy,19.5468347897133,20.710448951067807,0.0227103659077527,20.89107350095539,0.25677741230896634,17.413119372883155,0.16604086190201733,True
1.5x,1.5,001361.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.577532142523655,0.23736915717665932,16.808124111931974,0.21559214294884085,True
1.5x,1.5,003443.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.0538866821287,0.3219932279190597,15.895614845182603,0.2678463385698517,True
1.5x,1.5,000927.npy,19.5468347897133,20.710448951067807,0.0227103659077527,16.188376570390634,0.39640703640826774,14.829537924394563,0.3976513307407572,True
1.5x,1.5,001447.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.73626514121484,0.16100531791747605,15.41980850934664,0.1312912216704706,True
1.5x,1.5,003616.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.06205224070843,0.12141448952959352,14.138836401833995,0.08478374470091482,True
1.5x,1.5,003787.npy,19.5468347897133,20.710448951067807,0.0227103659077527,19.5982675189839,0.33833641611388,17.080943143195725,0.2728819603724773,True
1.5x,1.5,003808.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.414996538389545,0.5026554284149275,15.026379602686097,0.4162605036529478,True
1.5x,1.5,001105.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.325789825775534,0.3438401045473444,15.951038472455917,0.27628910209858776,True
