file,psnr,ssim,lpips
002411.npy,22.73972707151853,0.5070360852847072,0.16395892202854156
002443.npy,23.94350810933714,0.3741146823320746,0.2046729028224945
002465.npy,23.072242390443982,0.3078090730916267,0.26238369941711426
002557.npy,23.719156229193445,0.581137604595423,0.14709317684173584
002587.npy,25.990316283195547,0.7183472342747683,0.11970459669828415
002588.npy,25.52082642075485,0.6981284506227914,0.1418425291776657
002608.npy,25.55131932213162,0.305019021135153,0.21431829035282135
002626.npy,23.75460412478367,0.5427296500728438,0.18125057220458984
002669.npy,20.97805208352677,0.2595814254542898,0.19661906361579895
002711.npy,27.15292877545723,0.7087588745236527,0.16516780853271484
002834.npy,24.006355020871606,0.4929549126132054,0.20831835269927979
003205.npy,25.447333624201683,0.41448630064376957,0.31356972455978394
003206.npy,25.681822113891805,0.4257624947136072,0.2407006174325943
003616.npy,22.434987024783496,0.2471277690882301,0.19517749547958374
000046.npy,26.29544241289427,0.7022358982671351,0.07198622822761536
000302.npy,25.208871340168535,0.8191543098373413,0.05414692685008049
000613.npy,23.078644028699934,0.8279467656171037,0.0988476574420929
000715.npy,25.849284138112974,0.82000381655112,0.15100428462028503
000734.npy,24.697620366005737,0.8156835348697826,0.08122534304857254
000999.npy,26.309981254006072,0.755961836384505,0.06193976104259491
001854.npy,25.204856334022836,0.4185583446116615,0.15030601620674133
001950.npy,22.152981330762287,0.7135079323510393,0.13450655341148376
001982.npy,30.35689355230329,0.760668911400795,0.07785054296255112
001990.npy,26.246314806951077,0.7276448890440333,0.07584134489297867
002143.npy,25.174853952161612,0.832980011754781,0.13472802937030792
002144.npy,25.024976873085897,0.8394496435788572,0.10237868130207062
002161.npy,29.494384921085192,0.8059481052790061,0.051341474056243896
002163.npy,21.074637597137105,0.6639455886831861,0.1435738503932953
002174.npy,28.149150911354354,0.6189122382260561,0.06704108417034149
002400.npy,24.418394890769292,0.5421397274068389,0.10585106909275055
002675.npy,26.084855757106094,0.47646571577757596,0.15639354288578033
002733.npy,25.463057159992985,0.7883189944770467,0.07073970139026642
002913.npy,23.8448064904817,0.5344402589704403,0.1305505335330963
002976.npy,24.69530814552108,0.6587291781134605,0.12066943198442459
003002.npy,24.963697771025622,0.6440496070013558,0.14031793177127838
003026.npy,22.337022713989413,0.6323287632934563,0.11442825943231583
003076.npy,26.602051766781152,0.8125778629380925,0.10772636532783508
003101.npy,29.094243484812115,0.8099607008546181,0.1269504576921463
003103.npy,29.62415766781081,0.8653021079736336,0.08673632889986038
003126.npy,26.22728305567597,0.7776411781489476,0.14279013872146606
003127.npy,26.69361684801434,0.7678718752815649,0.08557077497243881
003307.npy,27.63652964888175,0.827780607532504,0.08658647537231445
003326.npy,32.64195898561406,0.8448099479494094,0.054391324520111084
003391.npy,22.548838123681346,0.82467973313912,0.10669582337141037
003443.npy,22.26435083076115,0.5305825612477238,0.14361539483070374
003474.npy,26.371401023448513,0.8743492665036097,0.09448450803756714
003477.npy,32.65558302772847,0.8697312176198959,0.07483859360218048
003562.npy,26.543320747644017,0.8681944737098813,0.07546216249465942
003564.npy,26.43243157025692,0.8714944637830052,0.09678000211715698
003658.npy,21.336343529907463,0.683154394903576,0.12632334232330322
003734.npy,24.389004743562644,0.48209446600169736,0.11649009585380554
003770.npy,20.845683827816313,0.5723802185462513,0.16534581780433655
003804.npy,28.11355141166902,0.8473930505929701,0.09295763075351715
003805.npy,28.696314851601407,0.8276657643695288,0.10132769495248795
003824.npy,23.940819261347364,0.6865834237624756,0.16058498620986938
003835.npy,25.044632159654732,0.8099165279616155,0.12177823483943939
003860.npy,24.393413417236616,0.7640681051412477,0.1852758228778839
003890.npy,25.427431687310037,0.6742643008960336,0.13137070834636688
003941.npy,26.942656777765215,0.7622917933775524,0.1231553703546524
003965.npy,28.251449941337846,0.825001117808491,0.08451211452484131
004022.npy,22.681959573673737,0.6458043907173127,0.16948150098323822
004025.npy,25.098998110747605,0.6691805307693733,0.10159680992364883
004102.npy,24.15466646506822,0.7745129046266154,0.09731792658567429
004108.npy,27.27029028291705,0.8137111967584119,0.11687260866165161
004236.npy,26.812304576558567,0.8761705025372016,0.10020588338375092
004296.npy,30.78938011267846,0.8552503177401796,0.074875608086586
004301.npy,29.979295814556444,0.841765270918876,0.09098557382822037
004317.npy,28.807555546224982,0.8311962876160219,0.11124230176210403
