file,cluster,psnr,ssim,lpips,composite
003528.npy,0,20.891855054913428,0.336594850999424,0.23805254697799683,0.4971108803385519
003597.npy,0,25.526886182354097,0.7424999329965785,0.1771480143070221,0.7557147769488319
003739.npy,0,22.065486090708927,0.6325071431295797,0.17093035578727722,0.644203064463188
003879.npy,0,22.472235707073878,0.4948545571564855,0.26089245080947876,0.5773703844950884
004020.npy,0,21.743609004178968,0.6111610363323688,0.2195514589548111,0.6137278369964962
004413.npy,0,24.079363069460417,0.7080363283566665,0.18041637539863586,0.7109702747517972
004684.npy,0,21.736939737026567,0.5002479582390552,0.2634243965148926,0.5619842925086446
000156.npy,1,24.35019270922235,0.7299679971497557,0.11937951296567917,0.7446448882662999
000198.npy,1,26.59286166815373,0.7085991179100937,0.222275972366333,0.7530601966957808
000508.npy,1,22.022145664892406,0.6767815299800322,0.12921838462352753,0.671902063227555
000670.npy,1,22.77091047956114,0.7966889668575576,0.1232171282172203,0.7305108457592489
000711.npy,1,21.225657998534455,0.5824013392838073,0.20028793811798096,0.5990524225782634
000803.npy,1,25.345677854665453,0.7578471305309534,0.14243613183498383,0.7683742852245554
000920.npy,1,23.94358843197228,0.8421559190609976,0.07801041752099991,0.7867949101127165
000991.npy,1,23.369785729232113,0.7523274062600153,0.12185738980770111,0.729485243911485
001035.npy,1,24.323894668360975,0.7596619027998445,0.08940199017524719,0.7639509635051096
001054.npy,1,24.015473535479902,0.7165524805143058,0.15479400753974915,0.7209300140021834
001239.npy,1,23.16064716179507,0.41746864384422994,0.18503613770008087,0.59215855008794
001356.npy,1,20.342583209332442,0.5193886473418926,0.23122160136699677,0.5481130866434639
001447.npy,1,25.251146054409155,0.4103981585012078,0.14841994643211365,0.6484626496765682
001461.npy,1,25.132227780801987,0.6472408143905177,0.1446579098701477,0.7260215855246119
001959.npy,1,26.28444097291505,0.6894207446404659,0.14089402556419373,0.7669409279790917
002040.npy,1,25.348403595959805,0.4979890846650738,0.25161418318748474,0.645422824847192
002282.npy,1,26.538983553405732,0.7747520105851888,0.0936921238899231,0.8167751523074381
002434.npy,1,23.615174904878472,0.5346702960633761,0.14700947701931,0.6540019375675437
002621.npy,1,22.513382512347746,0.7572390316007417,0.12417390197515488,0.7113190990384788
002745.npy,1,24.881732044409176,0.5955933324915609,0.1022857055068016,0.7173632544262347
002769.npy,1,23.1328574712774,0.5072106913385871,0.14158613979816437,0.6359383498751943
002771.npy,1,23.67379542582085,0.5462575955677186,0.15699699521064758,0.6558378762483759
002778.npy,1,25.288040080027294,0.6510110571734703,0.111354298889637,0.7418420323174397
002800.npy,1,22.318925114592357,0.5210867759297894,0.1537344753742218,0.6184268805094637
002855.npy,1,23.3255288483938,0.380716298580741,0.226252019405365,0.5698331785783208
002858.npy,1,27.100527591989994,0.43665551306397093,0.2783486545085907,0.65500289934046
003031.npy,1,24.053661309304356,0.6141012636427404,0.2375851571559906,0.6600311757023467
003092.npy,1,21.702019598229665,0.6137021718941177,0.25940972566604614,0.6003645842589053
003226.npy,1,21.94218808416175,0.5381056202335804,0.27441462874412537,0.5755011768111905
003426.npy,1,22.564385807046147,0.3373813330888917,0.15390335023403168,0.5625901233304231
003459.npy,1,23.923973889251172,0.7585404904177212,0.10712666809558868,0.7487818049796258
003517.npy,1,30.298467712520512,0.8212566606027633,0.11884517967700958,0.9008038269752511
003558.npy,1,25.45247697424836,0.5440252613165751,0.16685807704925537,0.6913329941835145
003568.npy,1,24.964337994015477,0.8045541711918577,0.14590245485305786,0.7743136386466104
003711.npy,1,24.303759511543042,0.7851851392145371,0.13928848505020142,0.7553824294224016
003712.npy,1,22.29739666360622,0.7443258639295176,0.1495588719844818,0.6937533676173724
003780.npy,1,26.872334313523353,0.7190167039496899,0.13332471251487732,0.7923936485565676
