file,spearman_r,spearman_p
002390.npy,0.026444367178968066,1.2806085876606232e-11
002411.npy,0.06604994238425003,2.847692314391169e-64
002443.npy,0.012700587416279942,0.0011483029379121192
002465.npy,0.03540794177682868,1.2222318759538316e-19
002557.npy,0.13498421611733605,4.797569816758722e-264
002587.npy,0.28696448717170103,0.0
002588.npy,0.2934451832354845,0.0
002608.npy,0.012137514893286289,0.0018883088591768909
002626.npy,0.09506516744845342,2.1063539194358384e-131
002669.npy,0.04394709479201921,2.1714622762481888e-29
002711.npy,0.2686362608841709,0.0
002834.npy,0.1374458984028992,8.896874427582947e-274
003205.npy,0.18771804718940877,0.0
003206.npy,0.208128448901933,0.0
003616.npy,0.06971628327827899,2.0649305101906698e-71
000046.npy,0.14643921532514806,6.9567239669853e-311
000302.npy,0.3083922274540227,0.0
000613.npy,0.3575042209450126,0.0
000715.npy,0.4089541059782844,0.0
000734.npy,0.3833477624998541,0.0
000999.npy,0.24359032473139838,0.0
001854.npy,0.13953123194082437,3.65232559481273e-282
001950.npy,0.45160945940146185,0.0
001982.npy,0.264056322742336,0.0
001990.npy,0.35474830382328,0.0
002143.npy,0.2601928290515447,0.0
002144.npy,0.296142514905015,0.0
002161.npy,0.17416745245253948,0.0
002163.npy,0.222485721325663,0.0
002174.npy,0.1157979540257081,2.0849457403263748e-194
002400.npy,0.12891106860073687,8.169968058881669e-241
002675.npy,0.20987131671096032,0.0
002733.npy,0.3703982045086516,0.0
002913.npy,0.3491587701261669,0.0
002976.npy,0.36247368524297985,0.0
003002.npy,0.243127745370564,0.0
003026.npy,0.4903993138230535,0.0
003076.npy,0.4002866593479508,0.0
003101.npy,0.2786820463119889,0.0
003103.npy,0.4117842462605172,0.0
003126.npy,0.3050263724800708,0.0
003127.npy,0.2837837636628749,0.0
003307.npy,0.2973848471392488,0.0
003326.npy,0.29456483016971396,0.0
003391.npy,0.4272238835660799,0.0
003443.npy,0.24758454440756483,0.0
003474.npy,0.3502539574391951,0.0
003477.npy,0.3097684155485698,0.0
003562.npy,0.48739136808935724,0.0
003564.npy,0.38095019281623604,0.0
003658.npy,0.35456309046734674,0.0
003734.npy,0.1949867835437353,0.0
003770.npy,0.38339975141893284,0.0
003804.npy,0.351739335203992,0.0
003805.npy,0.35838664345052007,0.0
003824.npy,0.3214116966658084,0.0
003835.npy,0.2895055669394657,0.0
003860.npy,0.3667743808737577,0.0
003890.npy,0.22010498397104164,0.0
003941.npy,0.25747736754811656,0.0
003965.npy,0.25961459494728845,0.0
004022.npy,0.2774640673337536,0.0
004025.npy,0.2947121307614629,0.0
004102.npy,0.3083399618944676,0.0
004108.npy,0.3762073976650537,0.0
004236.npy,0.4286212632738107,0.0
004296.npy,0.2697992399053379,0.0
004301.npy,0.3408798842583057,0.0
004317.npy,0.32556183641393527,0.0
004340.npy,0.35318513961588593,0.0
004371.npy,0.32998472986807553,0.0
004386.npy,0.2757829134874909,0.0
004433.npy,0.29700256700363126,0.0
004502.npy,0.42327609236112523,0.0
004520.npy,0.42054004691090474,0.0
004561.npy,0.2772010863569396,0.0
004562.npy,0.2813300250152345,0.0
004572.npy,0.3351747142235834,0.0
004575.npy,0.24260342077411914,0.0
004602.npy,0.3270400542565456,0.0
004719.npy,0.2691193406572785,0.0
004733.npy,0.28729536215904233,0.0
004754.npy,0.2399122052456127,0.0
001062.npy,0.39988144461036185,0.0
001063.npy,0.5865344926745375,0.0
000069.npy,0.2169149970067092,0.0
000085.npy,0.23231713344911537,0.0
000177.npy,0.06255158992393658,8.068215325313946e-58
000226.npy,0.24346891202654067,0.0
000372.npy,0.08206692981856212,2.5824379567965234e-98
000373.npy,0.06264202690497214,5.5513818002965805e-58
000415.npy,0.12168824197755525,1.2769459370205636e-214
000728.npy,0.14733422349161243,0.0
000777.npy,0.07301061983612589,3.712319234065098e-78
000916.npy,0.20366789581498587,0.0
000993.npy,0.1576977660322061,0.0
000994.npy,0.2393882156327746,0.0
001011.npy,0.05374581020611172,3.936804936532053e-43
001038.npy,0.16819304740615584,0.0
001103.npy,0.1443086906949281,7.147000486930698e-302
001234.npy,0.18211223672562854,0.0
001246.npy,0.10335375227911602,4.472861272965624e-155
001261.npy,0.08522332256017583,6.738281445889837e-106
001287.npy,0.035111301451951744,2.4478204928032185e-19
001516.npy,0.0897289889472454,3.177688250293096e-117
001517.npy,0.08484156331042879,5.769262377074199e-105
001600.npy,0.16911275214422936,0.0
001708.npy,0.04999878096298702,1.489418411316495e-37
001721.npy,0.02509646011998286,1.3136489429315285e-10
001770.npy,0.10686152612925294,1.0603742760187263e-165
002167.npy,0.07022961420362475,1.9249005530636994e-72
002184.npy,0.21740718986338903,0.0
002185.npy,0.2088179423688029,0.0
002293.npy,0.07401584137950573,2.812694015342296e-80
002312.npy,0.03893930843162975,2.0200612272010267e-23
002316.npy,0.08759435568046714,8.744926363791589e-112
002318.npy,0.09231871355572989,5.305253884660733e-124
002339.npy,0.07659405799428762,7.533956418213183e-86
002345.npy,0.046079162807514326,3.797439659787861e-32
002371.npy,0.04219870081519586,3.172826424020279e-27
002491.npy,0.19550545843560022,0.0
002508.npy,0.07839942852976448,7.259349099182916e-90
002553.npy,0.04811425146693088,6.714708927411012e-35
002561.npy,0.04819483689740104,5.19527207065503e-35
002607.npy,0.0947499507892909,1.5281346126686943e-130
002691.npy,0.10234469060833845,4.366524855768635e-152
002703.npy,0.07834744082108731,9.503078988445762e-90
002723.npy,0.07458085675748365,1.7555725404866313e-81
003086.npy,0.17939441639756312,0.0
003147.npy,0.21280165651796545,0.0
004043.npy,0.1615101077263376,0.0
004673.npy,0.101871755517979,1.0740453176662374e-150
004687.npy,0.11143223545829795,4.339481959686376e-180
000002.npy,0.2685996169735281,0.0
000486.npy,0.15407369428844678,0.0
000488.npy,0.15426754114625513,0.0
000522.npy,0.21828819168462274,0.0
000571.npy,0.3866647477552494,0.0
000764.npy,0.23202198958943374,0.0
000808.npy,0.20795168339677944,0.0
000846.npy,0.2325307339496219,0.0
